id,title,authors,abstract,url
1,Hindbrain induction and patterning during early vertebrate development,"Dale Frank  1 , ; Dalit Sela-Donenfeld  2; ; ; ","Abstract
The hindbrain is a key relay hub of the central nervous system (CNS), linking the bilaterally symmetric half-sides of lower and upper CNS centers via an extensive network of neural pathways. Dedicated neural assemblies within the hindbrain control many physiological processes, including respiration, blood pressure, motor coordination and different sensations. During early development, the hindbrain forms metameric segmented units known as rhombomeres along the antero-posterior (AP) axis of the nervous system. These compartmentalized units are highly conserved during vertebrate evolution and act as the template for adult brainstem structure and function. TALE and HOX homeodomain family transcription factors play a key role in the initial induction of the hindbrain and its specification into rhombomeric cell fate identities along the AP axis. Signaling pathways, such as canonical-Wnt, FGF and retinoic acid, play multiple roles to initially induce the hindbrain and regulate Hox gene-family expression to control rhombomeric identity. Additional transcription factors including Krox20, Kreisler and others act both upstream and downstream to Hox genes, modulating their expression and protein activity. In this review, we will examine the earliest embryonic signaling pathways that induce the hindbrain and subsequent rhombomeric segmentation via Hox and other gene expression. We will examine how these signaling pathways and transcription factors interact to activate downstream targets that organize the segmented AP pattern of the embryonic vertebrate hindbrain.
Keywords: FGF, Wnt and retinoic acid signaling; Hindbrain; Hox proteins; Meis and Pbx proteins; Neural specification and patterning; Rhombomere patterning.",https://pubmed.ncbi.nlm.nih.gov/30519881/
2,Maintenance of neurotransmitter identity by Hox proteins through a homeostatic mechanism,"Weidong Feng  1   2   3 , ; Honorine Destain  1   2   3 , ; Jayson J Smith  1   2 , ; Paschalis Kratsios  4   5   6; ; ; ; ; ","Abstract
Hox transcription factors play fundamental roles during early patterning, but they are also expressed continuously, from embryonic stages through adulthood, in the nervous system. However, the functional significance of their sustained expression remains unclear. In C. elegans motor neurons (MNs), we find that LIN-39 (Scr/Dfd/Hox4-5) is continuously required during post-embryonic life to maintain neurotransmitter identity, a core element of neuronal function. LIN-39 acts directly to co-regulate genes that define cholinergic identity (e.g., unc-17/VAChT, cho-1/ChT). We further show that LIN-39, MAB-5 (Antp/Hox6-8) and the transcription factor UNC-3 (Collier/Ebf) operate in a positive feedforward loop to ensure continuous and robust expression of cholinergic identity genes. Finally, we identify a two-component design principle for homeostatic control of Hox gene expression in adult MNs: Hox transcriptional autoregulation is counterbalanced by negative UNC-3 feedback. These findings uncover a noncanonical role for Hox proteins during post-embryonic life, critically broadening their functional repertoire from early patterning to the control of neurotransmitter identity.",https://pubmed.ncbi.nlm.nih.gov/36243871/
3,The Iroquois (Iro/Irx) homeobox genes are conserved Hox targets involved in motor neuron development,"Catarina Catela  1   2 , ; Stavroula Assimacopoulos  1   2 , ; Yihan Chen  1   2 , ; Konstantinos Tsioras  1   2 , ; Weidong Feng  1   2 , ; Paschalis Kratsios  1   2; ; ; ; ; ; ; ","Abstract
The Iroquois (Iro/Irx) homeobox genes encode transcription factors with fundamental roles in animal development. Despite their link to various congenital conditions in humans, our understanding of Iro/Irx gene expression, function, and regulation remains incomplete. Here, we conducted a systematic expression analysis of all six mouse Irx genes in the embryonic spinal cord. We found five Irx genes (Irx1, Irx2, Irx3, Irx5, and Irx6) to be confined mostly to ventral spinal domains, offering new molecular markers for specific groups of post-mitotic motor neurons (MNs). Further, we engineered Irx2, Irx5, and Irx6 mouse mutants and uncovered essential but distinct roles for Irx2 and Irx6 in MN development. Last, we found that the highly conserved regulators of MN development across species, the HOX proteins, directly control Irx gene expression both in mouse and C. elegans MNs, critically expanding the repertoire of HOX target genes in the developing nervous system. Altogether, our study provides important insights into Iro/Irx expression and function in the developing spinal cord, and uncovers an ancient gene regulatory relationship between HOX and Iro/Irx genes.",https://pubmed.ncbi.nlm.nih.gov/38853975/
4,A molecular atlas of adult C. elegans motor neurons reveals ancient diversity delineated by conserved transcription factor codes,"Jayson J Smith  1   2 , ; Seth R Taylor  3   4 , ; Jacob A Blum  5 , ; Aaron D Gitler  5 , ; David M Miller 3rd  3   6 , ; Paschalis Kratsios  1   2; ; ; ; ; ; ; ","Abstract
Motor neurons (MNs) constitute an ancient cell type targeted by multiple adult-onset diseases. It is therefore important to define the molecular makeup of adult MNs in animal models and extract organizing principles. Here, we generated a comprehensive molecular atlas of adult Caenorhabditis elegans MNs and a searchable database (http://celegans.spinalcordatlas.org). Single-cell RNA-sequencing of 13,200 cells revealed that ventral nerve cord MNs cluster into 29 molecularly distinct subclasses. All subclasses are delineated by unique expression codes of either neuropeptide or transcription factor gene families. Strikingly, we found that combinatorial codes of homeodomain transcription factor genes define adult MN diversity both in C. elegans and mice. Further, molecularly defined MN subclasses in C. elegans display distinct patterns of connectivity. Hence, our study couples the connectivity map of the C. elegans motor circuit with a molecular atlas of its constituent MNs, and uncovers organizing principles and conserved molecular codes of adult MN diversity.
Keywords: C. elegans; Hox genes; adult motor neurons; neuropeptides; scRNA-seq; transcription factors.",https://pubmed.ncbi.nlm.nih.gov/37577463/
5,The Iroquois (Iro/Irx) homeobox genes are conserved Hox targets involved in motor neuron development,"Catarina Catela  1   2 , ; Stavroula Assimacopoulos  1   2 , ; Yihan Chen  1   2 , ; Konstantinos Tsioras  1   2 , ; Weidong Feng  1   2 , ; Paschalis Kratsios  1   2; ; ; ; ; ; ; ","Abstract
The Iroquois (Iro/Irx) homeobox genes encode transcription factors with fundamental roles in animal development. Despite their link to various congenital conditions in humans, our understanding of Iro/Irx gene expression, function, and regulation remains incomplete. Here, we conducted a systematic expression analysis of all six mouse Irx genes in the embryonic spinal cord. We found that Irx1, Irx2, Irx3, Irx5, and Irx6 are expressed in specific groups of motor neurons (MNs). Further, we employed CRISPR-Cas9 gene editing to uncover essential but distinct roles for Irx2 and Irx6 in MN development. We also found that HOX proteins, which are conserved regulators of MN development across species, control Irx gene expression both in mouse and Caenorhabditis elegans MNs. Altogether, our study provides insights into Iro/Irx expression and function in the developing spinal cord and uncovers an ancient gene regulatory relationship between HOX and Iro/Irx genes.
Keywords: Molecular biology; Neuroscience.",https://pubmed.ncbi.nlm.nih.gov/40230530/
6,MACSPI enables tissue-selective proteomic and interactomic analyses in multicellular organisms,"Siyue Huang #  1 , ; Qiao Ran #  2 , ; Xiao-Meng Li  1 , ; Xiucong Bao  3 , ; Chaogu Zheng  2 , ; Xiang David Li  1; ; ; ; ; ; ; ","Abstract
Multicellular organisms are composed of many tissue types that have distinct morphologies and functions, which are largely driven by specialized proteomes and interactomes. To define the proteome and interactome of a specific type of tissue in an intact animal, we developed a localized proteomics approach called Methionine Analog-based Cell-Specific Proteomics and Interactomics (MACSPI). This method uses the tissue-specific expression of an engineered methionyl-tRNA synthetase to label proteins with a bifunctional amino acid 2-amino-5-diazirinylnonynoic acid in selected cells. We applied MACSPI in Caenorhabditis elegans, a model multicellular organism, to selectively label, capture, and profile the proteomes of the body wall muscle and the nervous system, which led to the identification of tissue-specific proteins. Using the photo-cross-linker, we successfully profiled HSP90 interactors in muscles and neurons and identified tissue-specific interactors and stress-related interactors. Our study demonstrates that MACSPI can be used to profile tissue-specific proteomes and interactomes in intact multicellular organisms.
Keywords: C. elegans; chemical biology; interactomics; protein interaction networks; tissue differentiation.",https://pubmed.ncbi.nlm.nih.gov/38753516/
7,Cell context-dependent CFI-1/ARID3 functions control neuronal terminal differentiation,"Yinan Li  1 , ; Jayson J Smith  2 , ; Filipe Marques  2 , ; Anthony Osuma  1 , ; Hsin-Chiao Huang  3 , ; Paschalis Kratsios  4; ; ; ; ; ; ; ","Abstract
AT-rich interaction domain 3 (ARID3) transcription factors are expressed in the nervous system, but their mechanisms of action are largely unknown. Here, we provide, in vivo, a genome-wide binding map for CFI-1, the sole C. elegans ARID3 ortholog. We identify 6,396 protein-coding genes as putative direct targets of CFI-1, most of which encode neuronal terminal differentiation markers. In head sensory neurons, CFI-1 directly activates multiple terminal differentiation genes, thereby acting as a terminal selector. In motor neurons, however, CFI-1 acts as a direct repressor, continuously antagonizing three transcriptional activators. By focusing on the glr-4/GRIK4 glutamate receptor locus, we identify proximal CFI-1 binding sites and histone methyltransferase activity as necessary for glr-4 repression. Rescue assays reveal functional redundancy between core and extended DNA-binding ARID domains and a strict requirement for REKLES, the ARID3 oligomerization domain. Altogether, this study uncovers cell-context-dependent mechanisms through which a single ARID3 protein controls the terminal differentiation of distinct neuron types.
Keywords: ARID proteins; ARID3; C. elegans; CFI-1; CP: Neuroscience; CRISPR-Cas9 gene editing; ChIP-seq; neuronal differentiation; transcription factors.",https://pubmed.ncbi.nlm.nih.gov/36897776/
8,Arid3c identifies an uncharacterized subpopulation of V2 interneurons during embryonic spinal cord development,"Estelle Renaux  1   2 , ; Charlotte Baudouin  2 , ; Olivier Schakman  3 , ; Ondine Gay  4 , ; Manon Martin  5 , ; Damien Marchese  1 , ; Younès Achouri  6 , ; René Rezsohazy  1 , ; Françoise Gofflot  1 , ; Frédéric Clotman  1   2; ; ; ; ; ; ; ; ; ; ; ","Abstract
Motor activity is organized by neuronal networks composed of motor neurons and a wide variety of pre-motor interneuron populations located in the brainstem and spinal cord. Differential expression and single-cell RNA sequencing studies recently unveiled that these populations subdivide into multiple subsets. However, some interneuron subsets have not been described yet, and the mechanisms contributing to this neuronal diversification have only been partly deciphered. In this study, we aimed to identify additional markers to further describe the diversity of spinal V2 interneuron populations. Here, we compared the transcriptome of V2 interneurons with that of the other cells of the embryonic spinal cord and extracted a list of genes enriched in V2 interneurons, including Arid3c. Arid3c identifies an uncharacterized subset of V2 that partially overlaps with V2c interneurons. These two populations are characterized by the production of Onecut factors and Sox2, suggesting that they could represent a single functional V2 unit. Furthermore, we show that the overexpression or inactivation of Arid3c does not alter V2 production, but its absence results in minor defects in locomotor execution, suggesting a possible function in subtle aspects of spinal locomotor circuit formation.
Keywords: Arid3c; V2 interneurons; V2c interneurons; embryonic spinal cord; motor activity; motor circuits.",https://pubmed.ncbi.nlm.nih.gov/39479525/
9,A molecular atlas of adult C. elegans motor neurons reveals ancient diversity delineated by conserved transcription factor codes,"Jayson J Smith  1 , ; Seth R Taylor  2 , ; Jacob A Blum  3 , ; Weidong Feng  1 , ; Rebecca Collings  4 , ; Aaron D Gitler  3 , ; David M Miller 3rd  5 , ; Paschalis Kratsios  6; ; ; ; ; ; ; ; ; ","Abstract
Motor neurons (MNs) constitute an ancient cell type targeted by multiple adult-onset diseases. It is therefore important to define the molecular makeup of adult MNs in animal models and extract organizing principles. Here, we generate a comprehensive molecular atlas of adult Caenorhabditis elegans MNs and a searchable database. Single-cell RNA sequencing of 13,200 cells reveals that ventral nerve cord MNs cluster into 29 molecularly distinct subclasses. Extending C. elegans Neuronal Gene Expression Map and Network (CeNGEN) findings, all MN subclasses are delineated by distinct expression codes of either neuropeptide or transcription factor gene families. Strikingly, combinatorial codes of homeodomain transcription factor genes succinctly delineate adult MN diversity in both C. elegans and mice. Further, molecularly defined MN subclasses in C. elegans display distinct patterns of connectivity. Hence, our study couples the connectivity map of the C. elegans motor circuit with a molecular atlas of its constituent MNs and uncovers organizing principles and conserved molecular codes of adult MN diversity.
Keywords: C. elegans; CP: Neuroscience; molecular diversity; motor neurons; mouse; neuropeptides; single-cell RNA sequencing; transcription factors.",https://pubmed.ncbi.nlm.nih.gov/38421866/
10,UNC-30/PITX coordinates neurotransmitter identity with postsynaptic GABA receptor clustering,"Edgar Correa  1   2 , ; Morgane Mialon  3 , ; Mélissa Cizeron  3 , ; Jean-Louis Bessereau  3 , ; Berangere Pinan-Lucarre  3 , ; Paschalis Kratsios  1   2   4; ; ; ; ; ; ; ","Abstract
Terminal selectors are transcription factors that control neuronal identity by regulating expression of key effector molecules, such as neurotransmitter biosynthesis proteins and ion channels. Whether and how terminal selectors control neuronal connectivity is poorly understood. Here, we report that UNC-30 (PITX2/3), the terminal selector of GABA nerve cord motor neurons in Caenorhabditis elegans, is required for neurotransmitter receptor clustering, a hallmark of postsynaptic differentiation. Animals lacking unc-30 or madd-4B, the short isoform of the motor neuron-secreted synapse organizer madd-4 (punctin/ADAMTSL), display severe GABA receptor type A (GABAAR) clustering defects in postsynaptic muscle cells. Mechanistically, UNC-30 acts directly to induce and maintain transcription of madd-4B and GABA biosynthesis genes (e.g. unc-25/GAD, unc-47/VGAT). Hence, UNC-30 controls GABAA receptor clustering in postsynaptic muscle cells and GABA biosynthesis in presynaptic cells, transcriptionally coordinating two crucial processes for GABA neurotransmission. Further, we uncover multiple target genes and a dual role for UNC-30 as both an activator and a repressor of gene transcription. Our findings on UNC-30 function may contribute to our molecular understanding of human conditions, such as Axenfeld-Rieger syndrome, caused by PITX2 and PITX3 gene variants.
Keywords: C. elegans; GABA receptors; MADD-4/ADAMTSL; Neuronal connectivity; Terminal selectors; UNC-30/PITX.",https://pubmed.ncbi.nlm.nih.gov/39190555/
