source_id,target_id
2,3
2,4
2,5
2,6
7,8
9,10
9,11
9,12
9,13
9,14
7,14
15,16
15,17
15,18
15,19
7,19
7,20
21,22
7,22
2,22
1,22
23,24
26,27
25,27
28,29
28,30
28,31
28,32
28,33
25,33
34,35
25,35
36,37
36,38
36,39
36,40
36,41
25,41
42,43
42,44
42,45
42,46
42,47
25,47
23,47
49,50
49,51
49,52
49,53
49,54
48,54
55,56
55,57
55,58
55,59
48,59
48,60
23,60
62,63
62,64
61,64
61,65
66,67
66,68
66,69
66,70
61,70
61,71
23,71
73,74
73,75
72,75
76,77
76,78
76,79
76,80
72,80
81,82
81,83
81,84
72,84
85,86
85,87
85,88
85,89
85,90
72,90
91,92
91,93
72,93
23,93
1,93
94,95
94,96
94,97
94,98
94,99
1,99
100,101
102,103
102,104
105,106
102,106
100,106
100,107
108,109
108,110
100,110
112,113
112,114
112,115
111,115
116,117
116,118
111,118
111,119
111,120
121,122
111,122
100,122
1,122
123,124
125,126
125,127
123,127
128,129
123,129
130,131
132,133
132,134
132,135
132,136
132,137
130,137
138,139
138,140
138,141
138,142
130,142
143,144
143,145
143,146
143,147
143,148
130,148
149,150
149,151
130,151
123,151
153,154
153,155
152,155
152,156
157,158
157,159
157,160
152,160
123,160
1,160
